"","security_freedom_1","security_freedom_2","security_freedom_3","security_freedom_4","security_freedom_5","security_freedom_6","security_freedom_7","institution_trust_5","gr_1","nar1_t","nar2_t","nar3_t","nar4_t","nar5_t","nar6_t","nar7_t","nar8_t"
"131",5,4,3,4,3,5,4,5,1,5,3,2,5,5.5,4,6,5
"132",7,7,7,7,7,7,7,1,0,7,6.5,5.5,6.5,4.5,4.5,5,6
"133",6,5,6,7,6,6,5,5,0,3,3,2.5,3.5,3,2.5,4.5,3.5
"134",6,6,6,7,7,7,7,5,1,4.5,4,5,3.5,6,5.5,7,4
"135",7,7,7,7,7,7,7,1,0,7,7,1.5,5,3.5,6.5,6,4
"136",5,5,3,4,4,4,4,2,1,4,1,1,1,4,5,4,5
"137",3,4,4,4,4,4,4,7,0,6,2,4,4,2,4,4.5,2.5
"138",6,5,6,6,6,7,7,3,1,4,5,5,5.5,4,4.5,6,5
"139",4,4,3,4,4,3,3,4,1,4,4,4,4,4,4,4,4
"140",6,6,7,5,7,7,7,2,1,5.5,6.5,7,6,2.5,5,6,4.5
"141",6,6,6,5,6,6,6,2,1,5,4.5,1.5,4,4,4,4.5,4
"142",2,2,2,2,2,2,2,6,1,4.5,4,4,4.5,7,6.5,7,7
"143",5,4,5,5,5,5,5,6,0,5,5,4.5,5,5,5,5,5
"144",4,2,1,4,3,1,3,5,0,1,2.5,1,1,5.5,5.5,7,6.5
"145",5,5,5,5,6,7,6,4,1,3.5,5.5,3.5,3,4.5,4.5,4,5
"146",2,3,2,2,2,2,2,4,0,3.5,3,2,3.5,5,5,5,5
"147",7,7,7,7,7,7,7,3,1,6,5,4.5,2.5,1,4,3,1
"148",4,4,3,5,3,4,4,5,0,4.5,4,4,4,4,4.5,4,4
"149",7,7,7,7,7,7,7,2,0,7,5.5,6.5,6.5,2.5,4,5,3.5
"150",7,7,7,7,7,7,7,4,1,3.5,3.5,1,6,3.5,6.5,7,6
"151",4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4
"152",5,4,4,5,4,4,5,4,0,3.5,4,2.5,4.5,4,4,4.5,3
"153",3,5,3,7,3,5,5,4,0,4.5,2,2,5,5.5,5.5,6,6
"154",7,7,7,7,7,7,7,5,1,5,7,6,5.5,6,4.5,5.5,7
"155",1,1,1,7,1,7,7,2,0,4,1,7,7,7,7,7,7
"156",1,3,3,5,5,4,5,5,1,3,2,3.5,3.5,5,4.5,4.5,4
"157",7,7,7,7,7,7,7,1,1,7,7,5.5,5,1,1,4,3.5
"158",7,7,7,7,7,7,7,3,1,3,3,3,3,3,3,3,3
"159",6,6,7,6,7,7,6,2,1,4,6,4,5,4,3,4,4.5
"160",4,5,5,4,7,7,7,1,0,3,2.5,3,4,1.5,3,3,3
"161",6,6,7,7,7,7,7,4,1,4.5,4,1,3,2,4,3.5,3.5
"162",5,4,3,3,5,7,7,1,1,5.5,4,2.5,4,4.5,5.5,5,3.5
"163",6,7,7,7,6,7,6,4,1,4.5,4,4.5,5.5,5,5,6.5,4
"164",7,7,7,7,7,7,7,5,0,3.5,4,1,4.5,4.5,5,7,4
"165",1,1,2,1,1,3,1,1,0,7,7,5.5,3.5,2.5,3.5,5,4.5
"166",7,7,6,6,6,7,7,1,1,4,7,1,4,1.5,1.5,4,4
"167",7,7,7,7,7,7,7,1,1,5.5,6.5,7,3,5.5,6,6.5,6
"168",7,7,7,7,7,7,7,1,1,4,7,1,7,1,4.5,4,4
"169",6,5,5,5,3,3,5,7,1,4.5,5,5,4.5,4.5,4.5,4,4.5
"170",5,6,5,5,6,6,6,5,0,4.5,4,2,4,4.5,2,3.5,5
"171",7,7,7,7,7,7,7,1,0,4.5,6,5.5,5,4,4,4.5,5
"172",7,7,7,7,7,7,7,1,1,5.5,5.5,4.5,5,5,4,4,4
"173",7,7,7,7,1,1,7,1,0,7,1,4,1,7,7,7,7
"174",3,3,3,3,3,1,2,6,0,1.5,1.5,3.5,1,7,7,1,7
"175",6,6,6,7,7,7,6,4,0,6.5,7,6.5,4,5.5,5,7,6.5
"176",1,1,2,1,1,1,1,1,1,4.5,4.5,3.5,4.5,3.5,5.5,6,4
"177",2,2,1,2,2,1,1,3,0,3.5,4,4.5,6,6,6.5,6.5,6.5
"178",7,7,7,7,7,7,7,1,1,3.5,5,3.5,5,5,4.5,5,3.5
"179",3,4,4,4,7,7,7,1,1,6,6,5.5,6,4,3.5,4,4.5
"180",4,6,7,7,7,7,7,6,0,5.5,5.5,5.5,4,5.5,7,5.5,5.5
"181",4,3,4,3,3,3,4,5,0,4.5,2,1,5,4,5,3,4
"182",4,4,4,5,4,4,3,5,1,4,3.5,3,3,7,6,4.5,4
"183",5,5,5,5,6,6,6,2,0,7,5.5,6,5,1.5,5,6,2.5
"184",4,4,4,4,4,4,4,1,0,5.5,7,5.5,5,2,6,6,6
"185",1,3,1,4,1,3,3,1,0,5.5,1,1,2.5,1.5,5,1,7
"186",4,5,4,4,3,4,4,2,0,5,5.5,5.5,6,4,4.5,5,4
"189",6,7,7,7,7,7,7,1,0,3.5,3,4,5.5,4.5,5,6,5
"190",4,4,4,4,4,4,4,5,1,4,3.5,3,4,5,4.5,6.5,6.5
"191",6,7,6,6,5,5,7,3,0,5.5,5.5,5,4,2,5.5,3.5,4
"192",7,7,7,7,7,7,7,1,1,1,7,7,7,1,1,1,1
"193",4,5,5,6,7,7,7,4,0,5.5,5,4.5,4,5,6,5,6
"194",1,1,1,1,1,1,2,6,1,7,7,5,2.5,2.5,4,5,2
"195",7,7,7,7,5,3,6,5,0,6.5,4,2.5,1.5,7,7,7,6
"196",2,2,1,1,1,1,1,4,1,1,2,1,4,6.5,7,7,7
"197",3,4,1,2,2,2,3,3,0,3.5,5,2.5,3.5,5.5,4,4.5,3.5
"198",7,7,7,7,7,7,7,1,1,4,6,3.5,5,1.5,3,3,4
"199",4,4,4,4,4,4,4,4,1,3,3,3,3,3.5,3,3,3
"200",1,1,1,1,1,3,4,6,1,6,1,4,6,5.5,6.5,6.5,4.5
"201",3,3,2,6,6,4,5,6,1,5,4,3.5,2.5,5,4.5,6.5,5
"202",7,7,7,7,7,7,7,2,1,4.5,5.5,4,5.5,3.5,3,3.5,5
"203",4,4,4,4,5,5,5,2,1,2,1.5,1,2.5,1.5,3.5,4,4
"204",1,1,1,1,7,1,7,1,0,6,7,3,7,4,7,4,6
"205",6,6,6,6,7,7,7,5,1,4,3,6,4.5,3,4.5,5.5,3
"206",5,5,4,5,5,5,5,6,0,5,4,5,4.5,4,5.5,5,3.5
"207",7,7,7,7,7,7,7,4,1,3.5,6,3,5,4,5.5,4,2
"208",5,5,4,4,4,6,6,1,0,5,4.5,3.5,4,4,5,5.5,3
"209",5,5,5,6,5,6,7,4,1,5,5,4,4.5,3.5,4,4,2.5
"210",7,7,7,7,5,7,7,5,1,2,5.5,5.5,3,6,7,6,7
"211",7,7,7,7,7,7,7,4,1,4.5,4,5,4,3,4,4,4
"212",7,7,7,7,7,7,7,2,1,6,7,4,3.5,3,3,5.5,3.5
